ts,act,price,qty,pnl,usdt,btc
2025-05-08T09:03:04,BUY,99690.60,0.040120,0.00,83348.22,0.259230
2025-05-08T09:03:50,SELL,99677.20,0.040120,-0.54,87347.27,0.219110
2025-05-08T09:30:11,BUY,99650.56,0.022490,0.00,8965.36,0.977670
2025-05-08T09:30:17,SELL,99612.40,0.022490,-0.86,11205.64,0.955180
2025-05-08T09:44:02,BUY,99586.07,0.018000,0.00,9413.09,1.001290
2025-05-08T09:46:14,SELL,99549.14,0.018000,-0.66,11204.54,0.983290
2025-05-08T09:46:27,BUY,99612.62,0.022490,0.00,8964.25,1.005780
2025-05-08T09:46:56,SELL,101477.10,0.022490,41.93,11203.67,0.983300
2025-05-08T09:47:08,BUY,99618.77,0.022490,0.00,8963.25,1.005790
2025-05-08T09:47:26,SELL,99600.01,0.022490,-0.42,11201.81,0.983300
2025-05-08T09:47:39,BUY,99627.48,0.022480,0.00,8962.19,1.005780
2025-05-08T09:47:51,SELL,99577.05,0.022480,-1.13,11200.57,0.983310
2025-05-08T09:48:04,BUY,99627.48,0.022480,0.00,8960.95,1.005790
2025-05-08T09:50:23,SELL,99667.48,0.022480,0.90,11200.47,0.983320
2025-05-08T10:07:43,BUY,99795.96,0.022440,0.00,8961.05,1.005760
2025-05-08T10:08:19,SELL,99778.24,0.022440,-0.40,11200.07,0.983320
2025-05-08T10:08:31,BUY,99734.95,0.022450,0.00,8961.02,1.005770
2025-05-08T10:08:32,SELL,99719.66,0.022450,-0.34,11199.72,0.983320
2025-05-08T10:08:45,BUY,99719.02,0.022450,0.00,8961.03,1.005770
2025-05-08T10:10:41,SELL,99696.73,0.022450,-0.50,11199.07,0.983320
2025-05-08T10:13:07,BUY,99746.87,0.022450,0.00,8959.75,1.005770
2025-05-08T10:13:14,SELL,99715.50,0.022450,-0.70,11198.37,0.983320
2025-05-08T10:20:13,BUY,99812.21,0.018690,0.00,9332.88,1.002010
2025-05-08T10:21:06,SELL,99785.69,0.018690,-0.50,11197.87,0.983320
2025-05-08T10:21:25,BUY,99785.68,0.022440,0.00,8958.68,1.005760
